orbital_period,transit_duration,transit_depth,planet_radius,snr,semi_major_axis,stellar_density,equilibrium_temp,inclination,stellar_radius,stellar_mass,impact_parameter,koi_disposition
10.31872301,3.836,871.7,28.59,38.2,0.0944,0.03681,876.0,78.15,1.06,1.05,1.215,FALSE POSITIVE
2.539183147,2.4282,382.1,2.06,38.9,0.0355,1.46261,1332.0,88.28,1.062,0.921,0.238,CONFIRMED
6.770300385,2.0844,1304.0,2.77,50.8,0.064,1.45164,812.0,86.84,0.679,0.767,0.838,CONFIRMED
0.444291966,2.0792,10967.0,27.51,299.7,0.0101,0.42351,1836.0,39.97,0.636,0.709,1.258,FALSE POSITIVE
10.181584004,3.5089,5741.1,7.73,183.6,0.0884,0.38059,812.0,85.87,0.836,0.885,0.92,CANDIDATE
20.06036336,3.3203,1494.7,1.96,35.2,0.115,3.09445,361.0,89.21,0.493,0.502,0.556,CONFIRMED
46.1842039,4.758,1394.7,1.83,26.0,0.2005,3.99779,273.0,89.99,0.493,0.502,0.013,CONFIRMED
23.9800854,5.351,104.0,1.31,17.1,0.1602,0.05654,649.0,85.45,1.012,0.951,0.95,CONFIRMED
7.82502168,2.186,520.8,1.2,15.9,0.0614,2.54508,494.0,87.99,0.493,0.502,0.708,CONFIRMED
3.895936525,2.3111,8544.8,7.34,370.8,0.046,2.31292,1005.0,87.56,0.774,0.866,0.524,CONFIRMED
22.36646466,5.228,986.8,2.32,32.1,0.1449,1.12517,536.0,89.26,0.734,0.821,0.4,CONFIRMED
1.625522174,2.38963,7969.0,9.73,799.7,0.0265,1.28198,1579.0,89.22,1.106,0.935,0.076,CONFIRMED
19.620346923,2.0038,21725.0,13.6,340.5,0.1389,23.21659,643.0,89.66,0.905,0.928,0.458,CANDIDATE
7.544039,6.222,322.6,17.47,14.2,0.0731,0.00393,838.0,58.94,0.824,0.919,1.175,FALSE POSITIVE
9.02930689,3.1449,1019.8,2.57,53.9,0.0796,2.66613,757.0,89.94,0.82,0.824,0.024,CONFIRMED
10.328035714,7.7915,16918.0,13.28,636.8,0.0888,0.23528,843.0,88.54,1.024,0.874,0.281,FALSE POSITIVE
143.2063047,8.9302,10566.0,8.9,138.8,0.5336,1.83449,308.0,89.83,0.867,0.986,0.379,CONFIRMED
6.164876,3.262,55.8,0.79,14.4,0.0648,0.69664,1021.0,86.69,1.012,0.951,0.646,CONFIRMED
60.32494216,6.6188,20280.0,12.19,347.2,0.2998,2.37656,411.0,89.83,0.867,0.986,0.224,CONFIRMED
29.1598615,4.803,488.0,1.91,11.6,0.1847,1.92739,524.0,89.38,0.867,0.986,0.3619,CONFIRMED
1.540397253,2.1541,816.1,25.69,38.8,0.0264,0.06102,1470.0,51.56,0.915,1.034,1.225,FALSE POSITIVE
2.99025443,5.414,589.2,1.7,48.5,0.0367,0.17407,918.0,89.81,0.731,0.737,0.014,FALSE POSITIVE
1.594745374,1.9604,15044.0,11.3,1009.3,0.0258,1.77544,1539.0,85.25,0.893,0.901,0.514,CONFIRMED
4.783002698,2.335,1008.7,2.5,70.6,0.0535,3.45234,886.0,89.99,0.807,0.891,0.003,CONFIRMED
20.50588921,4.0595,2105.5,3.41,78.5,0.1326,2.64998,518.0,89.62,0.761,0.739,0.26,CONFIRMED
3.340218842,1.9104,1632.6,2.03,71.6,0.0348,3.23586,656.0,87.85,0.493,0.502,0.466,CONFIRMED
2.507089906,2.0067,1339.2,30.26,64.9,0.0365,0.11003,1326.0,67.79,0.939,1.03,1.255,FALSE POSITIVE
18.64932728,4.4056,893.6,3.12,46.1,0.139,1.97596,701.0,89.86,1.053,1.026,0.08,CONFIRMED
4.90144976,4.1654,140.7,1.7,50.6,0.0586,0.3709,1262.0,86.1,1.402,1.113,0.529,CONFIRMED
9.75192101,4.793,418.0,2.76,28.5,0.0902,0.044,870.0,80.97,1.053,1.026,0.949,CONFIRMED
